timestamp,day,count
2023-02-02 18:00:01.667309,2023-02-01,1
2023-02-03 18:00:02.023892,2023-02-04,0
2023-02-03 18:00:02.023892,2023-02-03,1
2023-02-05 01:00:01.756163,2023-02-05,0
2023-02-06 02:00:02.108700,2023-02-06,0
2023-02-06 18:00:01.802792,2023-02-07,0
2023-02-06 18:00:01.802792,2023-02-06,2
2023-02-07 18:00:01.997957,2023-02-08,0
2023-02-07 18:00:01.997957,2023-02-07,2
2023-02-08 18:00:02.613737,2023-02-09,0
2023-02-08 18:00:02.613737,2023-02-08,6
2023-02-09 18:00:02.591150,2023-02-10,0
2023-02-09 18:00:02.591150,2023-02-09,4
2023-02-10 18:00:01.646536,2023-02-11,0
2023-02-10 18:00:01.646536,2023-02-10,2
2023-02-10 18:00:01.646536,2023-02-09,5
2023-02-12 01:00:02.140228,2023-02-12,0
2023-02-12 15:00:02.219564,2023-02-12,3
2023-02-12 15:00:02.219564,2023-02-11,1
2023-02-13 01:00:01.987853,2023-02-13,0
2023-02-13 18:00:02.560527,2023-02-14,0
2023-02-13 18:00:02.560527,2023-02-13,6
2023-02-13 18:00:02.560527,2023-02-12,4
2023-02-13 18:00:02.560527,2023-02-09,6
2023-02-14 18:00:02.224645,2023-02-15,0
2023-02-14 18:00:02.224645,2023-02-14,2
2023-02-14 18:00:02.224645,2023-02-13,7
2023-02-15 18:00:01.673879,2023-02-16,0
2023-02-15 18:00:01.673879,2023-02-15,1
2023-02-15 18:00:01.673879,2023-02-13,8
2023-02-16 18:00:01.957708,2023-02-17,0
2023-02-16 18:00:01.957708,2023-02-16,5
2023-02-16 18:00:01.957708,2023-02-15,2
2023-02-17 18:00:01.889732,2023-02-18,0
2023-02-17 18:00:01.889732,2023-02-16,6
2023-02-17 18:00:01.889732,2023-02-14,3
2023-02-19 18:00:01.976428,2023-02-18,1
2023-02-19 18:00:01.976428,2023-02-17,1
2023-02-19 18:00:01.976428,2023-02-12,5
